Never tell anyone the real reason you did something unless it is useful to do so.,The best way to handle people is to tell them what they want to hear.,One should take action only when sure it is morally right.,Most people are basically good and kind.,It is safest to assume that all people have a vicious streak and it will come out when they are given a chance.,Honesty is the best policy in all cases.,There is no excuse for lying to someone else.,Generally speaking people wont work hard unless theyre forced to do so.,All in all it is better to be humble and honest than to be important and dishonest.,When you ask someone to do something for you it is best to give the real reasons for wanting it rather than giving reasons which carry more weight.,Most people who get ahead in the world lead clean moral lives.,Anyone who completely trusts anyone else is asking for trouble.,The biggest difference between most criminals and other people is that the criminals are stupid enough to get caught.,Most people are brave.,It is wise to flatter important people.,It is possible to be good in all respects.,PT Barnum was wrong when he said that theres a sucker born every minute.,It is hard to get ahead without cutting corners here and there.,People suffering from incurable diseases should have the choice of being put painlessly to death.,Most people forget more easily the death of their parents than the loss of their property.,gender,Mach Level
4,4,2,2,4,2,3,5,3,4,2,5,2,1,4,4,2,0,5,2,1,definitely machiavellian
2,2,4,4,4,2,2,2,4,4,2,4,2,2,3,2,2,4,5,2,2,kind of machiavellian
4,5,4,1,4,2,2,4,4,3,2,2,2,1,2,4,4,2,5,4,2,definitely machiavellian
3,4,2,4,4,2,2,2,4,3,2,4,4,3,3,4,2,4,5,1,1,definitely machiavellian
4,4,3,2,4,3,4,5,4,3,1,5,3,2,4,2,2,3,4,2,1,definitely machiavellian
4,5,2,3,5,0,3,4,3,3,1,2,4,4,5,4,1,4,5,4,1,definitely machiavellian
5,5,5,2,4,3,2,4,4,2,2,4,4,2,4,2,2,4,4,5,1,definitely machiavellian
4,4,3,1,5,3,2,4,2,2,1,4,4,2,4,1,2,5,5,3,1,way too machiavellian
1,3,5,2,4,4,3,1,4,4,2,3,1,4,3,4,3,3,4,1,1,kind of machiavellian
3,3,5,2,4,2,4,4,3,4,1,5,4,2,1,2,2,4,5,2,2,definitely machiavellian
3,3,5,2,4,2,4,4,3,4,1,5,4,2,1,2,2,4,5,2,2,definitely machiavellian
2,1,2,4,3,4,4,4,5,5,2,4,3,4,2,2,2,3,4,4,1,kind of machiavellian
3,2,4,2,4,5,4,5,4,4,3,4,2,2,4,4,4,2,5,1,1,kind of machiavellian
5,3,2,2,4,2,2,4,3,3,1,4,4,2,3,2,3,3,4,4,1,definitely machiavellian
4,2,3,4,2,4,1,2,5,4,3,5,2,4,2,2,2,4,4,2,1,kind of machiavellian
3,4,4,3,4,2,2,3,4,4,2,4,3,3,4,2,2,3,5,2,1,definitely machiavellian
4,4,3,2,2,3,2,4,4,2,2,2,3,3,4,2,2,4,4,2,1,definitely machiavellian
3,4,3,4,2,2,2,4,4,3,1,4,5,2,5,4,2,4,5,5,1,definitely machiavellian
4,3,2,1,3,2,2,3,3,3,1,5,4,1,2,3,1,5,3,3,1,definitely machiavellian
2,4,4,3,3,4,3,2,4,4,3,3,2,4,4,2,3,4,2,2,2,kind of machiavellian
4,5,3,4,2,2,1,2,4,2,2,1,2,2,3,1,1,4,5,1,1,definitely machiavellian
3,4,4,4,2,5,4,4,5,4,4,3,4,2,3,2,3,3,4,2,1,kind of machiavellian
2,2,2,2,4,4,2,4,4,4,2,3,2,2,2,2,4,4,4,1,1,definitely machiavellian
5,4,1,2,4,2,1,1,4,2,2,5,2,3,2,2,2,4,4,4,1,definitely machiavellian
4,2,3,1,4,4,2,4,4,4,1,4,3,2,2,2,2,3,3,3,2,definitely machiavellian
5,3,2,2,4,3,2,3,3,2,1,1,3,2,3,1,2,4,4,4,1,definitely machiavellian
5,5,4,2,5,1,1,2,2,3,1,3,1,1,3,3,2,3,5,1,2,definitely machiavellian
2,4,2,4,4,2,2,2,4,2,2,4,2,2,4,2,2,4,5,2,1,definitely machiavellian
2,3,3,3,3,2,3,2,3,3,2,4,3,3,3,2,2,4,4,2,1,definitely machiavellian
2,4,1,1,5,2,1,5,3,2,2,4,4,3,4,2,4,5,5,2,1,way too machiavellian
4,2,2,4,2,3,2,2,4,4,3,4,2,2,2,4,2,4,3,1,2,kind of machiavellian
2,4,2,2,5,3,2,2,4,3,1,4,4,2,2,2,2,5,5,4,2,definitely machiavellian
2,1,3,2,4,3,2,1,5,5,2,2,2,3,3,4,3,3,4,3,1,kind of machiavellian
4,2,4,2,4,2,1,2,2,2,2,4,5,2,4,1,1,4,4,3,1,definitely machiavellian
3,4,4,2,4,2,1,2,4,3,3,4,1,2,5,2,1,4,5,3,1,definitely machiavellian
4,4,1,2,3,1,2,3,3,2,1,3,3,2,4,2,2,1,5,4,1,definitely machiavellian
3,4,3,3,4,3,2,3,4,3,2,3,3,2,3,3,2,4,3,3,1,definitely machiavellian
5,5,2,4,2,4,1,5,4,4,2,2,4,1,3,3,2,2,4,1,1,definitely machiavellian
5,4,5,3,3,3,2,5,3,3,2,2,4,2,4,4,5,4,5,2,1,definitely machiavellian
2,3,2,3,2,5,1,2,4,4,4,5,2,3,5,4,4,4,5,4,1,definitely machiavellian
4,2,1,2,2,1,1,2,4,2,1,5,3,2,5,2,2,2,5,2,1,definitely machiavellian
3,4,1,2,4,1,1,4,4,3,2,5,4,2,3,2,1,3,5,3,1,definitely machiavellian
2,3,4,3,3,2,2,3,4,2,2,3,4,3,2,1,3,4,5,1,1,definitely machiavellian
5,3,2,1,2,1,1,2,4,2,1,4,4,1,2,4,1,4,5,3,1,definitely machiavellian
